STATION,MODE,LAT,LONG,TIMEOFDAY,BOARDINGS,ALIGHTINGS
North Springs,RAIL,33.94511896,-84.35726606,EV,300,607
Georgia State,RAIL,33.75008031,-84.38582967,EV,615,133
Inman Park/Reynoldstown,RAIL,33.75769205,-84.35251524,EV,172,428
Edgewood/Candler Park,RAIL,33.76193601,-84.33963921,EV,99,161
East Lake,RAIL,33.76519723,-84.31276946,EV,75,290
Decatur,RAIL,33.77468883,-84.29574279,EV,308,383
Avondale,RAIL,33.77514262,-84.28227057,EV,230,561
Kensington,RAIL,33.77265675,-84.25189439,EV,343,920
Indian Creek,RAIL,33.76982934,-84.22965543,EV,152,941
Dome/GWCC/Philips Arena/C,RAIL,33.75610139,-84.39712121,EV,275,51
Vine City,RAIL,33.75655043,-84.40401403,EV,153.98,159.99
Ashby,RAIL,33.75644578,-84.41724351,EV,399,469
West Lake,RAIL,33.75329302,-84.44534298,EV,69,254
Hamilton E Holmes,RAIL,33.75447364,-84.47012807,EV,283,952
Bankhead,RAIL,33.77218678,-84.42893117,EV,70,200
Peachtree Center,RAIL,33.75967751,-84.38756755,EV,1499,463
Civic Center,RAIL,33.76648821,-84.38749686,EV,612,324
Midtown,RAIL,33.78111994,-84.38633917,EV,915,777
Arts Center,RAIL,33.78918261,-84.38732614,EV,1640,744
Lindbergh Center,RAIL,33.8224931,-84.36959926,EV,2851,3492
Lenox,RAIL,33.84538918,-84.35809299,EV,573,296
Brookhaven/Oglethorpe Uni,RAIL,33.85995051,-84.33936845,EV,140,380
Chamblee,RAIL,33.88746349,-84.30635678,EV,225,409
Buckhead,RAIL,33.84806247,-84.36785871,EV,453,234
Medical Center,RAIL,33.91076675,-84.35150426,EV,406,93
Dunwoody,RAIL,33.92129246,-84.34435935,EV,471,253
Garnett,RAIL,33.74883024,-84.39563408,EV,332,145
West End,RAIL,33.73581105,-84.41366372,EV,354,773
Oakland City,RAIL,33.71704952,-84.42512465,EV,224,833
Lakewood/Fort McPherson,RAIL,33.70031817,-84.42886315,EV,104,363
East Point,RAIL,33.67685698,-84.44074954,EV,280,667
College Park,RAIL,33.65153306,-84.44877472,EV,347,1311
Auburn/Piedmont Streetcar,RAIL,33.7555401,-84.38222988,EV,0,0
Peachtree Center Streetca,RAIL,33.75788041,-84.38759022,EV,4,1
Carnegie/Spring Streetcar,RAIL,33.75925987,-84.38944947,EV,2,1
Woodruff Park Streetcar,RAIL,33.75630023,-84.38845983,EV,0,0
Luckie/Cone Streetcar,RAIL,33.75788993,-84.39008967,EV,1,0
Centennial Olympic Park S,RAIL,33.75923989,-84.3920903,EV,3,1
Sweet Auburn Market Stree,RAIL,33.75440038,-84.3802706,EV,3,1
King Memorial,RAIL,33.75000421,-84.37543042,EV,109.01,231
Airport,RAIL,33.64068199,-84.44620592,EV,703,95
North Avenue,RAIL,33.77256732,-84.38699937,EV,1090,562.01
Doraville,RAIL,33.90298663,-84.28025261,EV,164,418
Five Points (Gold/Red),RAIL,33.75386763,-84.39159681,EV,3322.01,3929
Five Points (Blue/Green),RAIL,33.75387048,-84.3915608,EV,4175,1394
Hurt Park Streetcar,RAIL,33.75447459,-84.3852735,EV,10,2
Park Place Streetcar,RAIL,33.75506728,-84.38820242,EV,6,2
Dobbs Plaza Streetcar,RAIL,33.75552012,-84.37887016,EV,0,0
King Historical District,RAIL,33.75548968,-84.37435941,Airport,0,0
Edgewood/Hilliard Streetc,RAIL,33.75438041,-84.37658011,Airport,0,0
Sandy Springs,RAIL,33.93218729,-84.35208977,Airport,99.14,253.57
North Springs,RAIL,33.94511896,-84.35726606,Airport,320.71,119.9
Georgia State,RAIL,33.75008031,-84.38582967,Airport,3,98.9
Inman Park/Reynoldstown,RAIL,33.75769205,-84.35251524,Airport,17.88,17.6
Edgewood/Candler Park,RAIL,33.76193601,-84.33963921,Airport,16.12,8.48
East Lake,RAIL,33.76519723,-84.31276946,Airport,14.51,6.38
Decatur,RAIL,33.77468883,-84.29574279,Airport,18.62,29.15
Avondale,RAIL,33.77514262,-84.28227057,Airport,16.5,24.54
Kensington,RAIL,33.77265675,-84.25189439,Airport,55.14,16.68
Indian Creek,RAIL,33.76982934,-84.22965543,Airport,32.21,5.91
Dome/GWCC/Philips Arena/C,RAIL,33.75610139,-84.39712121,Airport,0.22,78.28
Vine City,RAIL,33.75655043,-84.40401403,Airport,10.62,7.98
Ashby,RAIL,33.75644578,-84.41724351,Airport,14.32,6.6
West Lake,RAIL,33.75329302,-84.44534298,Airport,6.72,11.45
Hamilton E Holmes,RAIL,33.75447364,-84.47012807,Airport,18.71,27.53
Bankhead,RAIL,33.77218678,-84.42893117,Airport,9.6,20.48
Peachtree Center,RAIL,33.75967751,-84.38756755,Airport,16.34,448.74
Civic Center,RAIL,33.76648821,-84.38749686,Airport,34.56,201.44
Midtown,RAIL,33.78111994,-84.38633917,Airport,202.94,468.04
Arts Center,RAIL,33.78918261,-84.38732614,Airport,100.92,648.16
Lindbergh Center,RAIL,33.8224931,-84.36959926,Airport,233.82,244.96
Lenox,RAIL,33.84538918,-84.35809299,Airport,72.99,386.32
Brookhaven/Oglethorpe Uni,RAIL,33.85995051,-84.33936845,Airport,61.59,29.36
Chamblee,RAIL,33.88746349,-84.30635678,Airport,28.01,31.4
Buckhead,RAIL,33.84806247,-84.36785871,Airport,37.36,525.7
Medical Center,RAIL,33.91076675,-84.35150426,Airport,18.97,509.93
Dunwoody,RAIL,33.92129246,-84.34435935,Airport,40.54,201.35
Garnett,RAIL,33.74883024,-84.39563408,Airport,18.72,66.76
West End,RAIL,33.73581105,-84.41366372,Airport,147.04,7.54
Oakland City,RAIL,33.71704952,-84.42512465,Airport,11.26,2.5
Lakewood/Fort McPherson,RAIL,33.70031817,-84.42886315,Airport,6.6,0.62
East Point,RAIL,33.67685698,-84.44074954,Airport,0.1,0.08
College Park,RAIL,33.65153306,-84.44877472,Airport,84.54,0
Auburn/Piedmont Streetcar,RAIL,33.7555401,-84.38222988,Airport,0,0
Peachtree Center Streetca,RAIL,33.75788041,-84.38759022,Airport,0,0
Carnegie/Spring Streetcar,RAIL,33.75925987,-84.38944947,Airport,0,0
Woodruff Park Streetcar,RAIL,33.75630023,-84.38845983,Airport,0,0
Luckie/Cone Streetcar,RAIL,33.75788993,-84.39008967,Airport,0,0
Centennial Olympic Park S,RAIL,33.75923989,-84.3920903,Airport,0,0
Sweet Auburn Market Stree,RAIL,33.75440038,-84.3802706,Airport,0,0
King Memorial,RAIL,33.75000421,-84.37543042,Airport,15.74,10.38
Airport,RAIL,33.64068199,-84.44620592,Airport,5293.23,2190.74
North Avenue,RAIL,33.77256732,-84.38699937,Airport,66.68,318.66
Doraville,RAIL,33.90298663,-84.28025261,Airport,315.57,16.59
Five Points (Gold/Red),RAIL,33.75386763,-84.39159681,Airport,272.44,811.68
Five Points (Blue/Green),RAIL,33.75387048,-84.3915608,Airport,370.29,249.87
Hurt Park Streetcar,RAIL,33.75447459,-84.3852735,Airport,0,0
Park Place Streetcar,RAIL,33.75506728,-84.38820242,Airport,0,0
Dobbs Plaza Streetcar,RAIL,33.75552012,-84.37887016,Airport,0,0
