STATION,MODE,LAT,LONG,TIMEOFDAY,BOARDINGS,ALIGHTINGS
Oakland City,RAIL,33.71704952,-84.42512464,Airport,10.88,2.74
Lakewood/Fort M,RAIL,33.70031817,-84.42886315,Airport,5.44,0.56
East Point,RAIL,33.67685698,-84.44074954,Airport,0.32,0.08
College Park,RAIL,33.65153306,-84.44877472,Airport,89.52,0
Auburn/Piedmont,RAIL,33.7555401,-84.38222988,Airport,0,0
Peachtree Cente,RAIL,33.75788041,-84.38759022,Airport,0,0
Carnegie/Spring,RAIL,33.75925987,-84.38944947,Airport,0,0
Woodruff Park S,RAIL,33.75630023,-84.38845983,Airport,0,0
Luckie/Cone Str,RAIL,33.75788993,-84.39008967,Airport,0,0
Centennial Olym,RAIL,33.75923989,-84.3920903,Airport,0,0
Sweet Auburn Ma,RAIL,33.75440038,-84.3802706,Airport,0,0
King Memorial,RAIL,33.75000421,-84.37543041,Airport,13.54,8.24
Airport,RAIL,33.64068199,-84.44620591,Airport,4651.82,1793.7
North Avenue,RAIL,33.77256732,-84.38699937,Airport,66.06,276.16
Doraville,RAIL,33.90298663,-84.28025261,Airport,228.5,14.55
Five Points (Gold),RAIL,33.75386763,-84.39159681,Airport,203.94,707.18
Five Points (Blue),RAIL,33.75387048,-84.3915608,Airport,347.84,183.85
Hurt Park Stree,RAIL,33.75447459,-84.3852735,Airport,0,0
Park Place Stre,RAIL,33.75506728,-84.38820241,Airport,0,0
Dobbs Plaza Str,RAIL,33.75552012,-84.37887016,Airport,0,0
